"Common Name","Scientific Name","Number of Records"
"New Zealand mud snail","Potamopyrgus antipodarum","540"
"pineapple-weed","Matricaria discoidea","519"
"rose clover","Trifolium hirtum","510"
"London rocket","Sisymbrium irio","506"
"hanging sedge","Carex pendula","494"
"kikuyugrass","Pennisetum clandestinum","491"
"African asparagus fern","Asparagus asparagoides","489"
"crowndaisy","Glebionis coronaria","486"
"Eurasian watermilfoil","Myriophyllum spicatum","485"
"Japanese knotweed","Reynoutria japonica","483"
"hoary cress","Lepidium draba","475"
"yellow sweet-clover","Melilotus officinalis","461"
"Geraldton carnation weed","Euphorbia terracina","460"
"Algerian ivy","Hedera canariensis","455"
"evergreen clematis","Clematis vitalba","449"
"cutleaf geranium","Geranium dissectum","443"
"river redgum","Eucalyptus camaldulensis","435"
"birdsrape mustard","Brassica rapa","428"
"narrowleaf firethorn","Pyracantha angustifolia","420"
"mourningbride","Scabiosa atropurpurea","419"
"telegraph weed","Heterotheca grandiflora","415"
"Dalmatian toadflax","Linaria dalmatica","395"
"mayten","Maytenus boaria","391"
"everlasting peavine","Lathyrus latifolius","386"
"common hawthorn","Crataegus monogyna","375"
"nasturtium","Tropaeolum majus","369"
"Canary Island St. Johnswort","Hypericum canariense","366"
"western pine beetle","Dendroctonus brevicomis","360"
"brassbuttons","Cotula coronopifolia","351"
"calla lily","Zantedeschia aethiopica","351"
"mountain pine beetle","Dendroctonus ponderosae","349"
"field bindweed","Convolvulus arvensis","344"
"hyssop loosestrife","Lythrum hyssopifolia","343"
"pale yellow iris, yellow flag iris","Iris pseudacorus","334"
"silver wattle","Acacia dealbata","334"
"spiny emex","Emex spinosa","330"
"little mallow","Malva parviflora","327"
"English catchfly","Silene gallica","325"
"stinging nettle","Urtica dioica","323"
"common groundsel","Senecio vulgaris","322"
"sweet vernalgrass","Anthoxanthum odoratum","320"
"crimson clover","Trifolium incarnatum","320"
"fivehook bassia","Bassia hyssopifolia","319"
"milkflower cotoneaster","Cotoneaster coriaceus","308"
"fir engraver","Scolytus ventralis","306"
"Kentucky bluegrass","Poa pratensis","304"
"striated broom","Cytisus striatus","302"
"European sea-lavender","Limonium duriusculum","300"
"birdsfoot trefoil","Lotus corniculatus","300"
"hairy cat's ear","Hypochaeris radicata","296"
"broadleaf plantain","Plantago major","296"
"flixweed","Descurainia sophia","295"
"broadleaf filaree","Erodium botrys","295"
"common vetch","Vicia sativa","295"
"alligatorweed","Alternanthera philoxeroides","295"
"cherry plum","Prunus cerasifera","294"
"camelthorn","Alhagi maurorum","293"
"hairy whitetop","Lepidium appelianum","292"
"annual yellow sweetclover","Melilotus indicus","291"
"crystalline iceplant","Mesembryanthemum crystallinum","291"
"common salsify","Tragopogon porrifolius","290"
"annual sowthistle","Sonchus oleraceus","286"
"spiny sowthistle","Sonchus asper","284"
"shovel-headed garden worm","Bipalium kewense","284"
"treasureflower","Gazania linearis","282"
"smilograss","Piptatherum miliaceum","282"
"watercress","Nasturtium officinale","281"
"Athel tamarisk","Tamarix aphylla","278"
"Jeffery pine beetle","Dendroctonus jeffreyi","277"
"yellowfever mosquito","Aedes aegypti","277"
"European sea-rocket","Cakile maritima","276"
"capeweed","Arctotheca calendula","266"
"tansy ragwort","Jacobaea vulgaris","263"
"rosy sandcrocus","Romulea rosea var. australis","262"
"Australian cheesewood","Pittosporum undulatum","261"
"johnsongrass","Sorghum halepense","258"
"English daisy","Bellis perennis","257"
"catchweed bedstraw","Galium aparine","256"
"common cocklebur","Xanthium strumarium","255"
"cyclops acacia","Acacia cyclops","253"
"western salsify","Tragopogon dubius","253"
"common selfheal","Prunella vulgaris","252"
"sea fig","Carpobrotus chilensis","250"
"curly leaf pondweed","Potamogeton crispus","248"
"Heterobasidion root rots","Heterobasidion spp.","247"
"petty spurge","Euphorbia peplus","247"
"common mediterraneangrass","Schismus barbatus","246"
"moleplant","Euphorbia lathyris","241"
"orbicular whitetop, lens-podded hoary cress","Lepidium chalepense","233"
"red clover","Trifolium pratense","232"
"houndstongue","Cynoglossum officinale","229"
"slenderflower thistle","Carduus tenuiflorus","229"
"sticky chickweed","Cerastium glomeratum","228"
"jointed goatgrass","Aegilops cylindrica","222"
"Canadian horseweed","Erigeron canadensis","216"
"chicory","Cichorium intybus","216"
"tamarisk","Tamarix spp.","216"
"leporinum barley","Hordeum murinum ssp. leporinum","215"
"whitestem filaree","Erodium moschatum","212"
"Chinese tallowtree","Triadica sebifera","210"
"onionweed","Asphodelus fistulosus","209"
"common pokeweed","Phytolacca americana","205"
"tufted wallaby grass","Rytidosperma caespitosum","203"
"helleborine","Epipactis helleborine","202"
"smilo grass","Stipa miliacea var. miliacea","200"
"glossy privet","Ligustrum lucidum","200"
