"Common Name","Scientific Name","Number of Records"
"western pine beetle","Dendroctonus brevicomis","60"
"curly dock","Rumex crispus ssp. crispus","60"
"rabbitfoot polypogon","Polypogon monspeliensis","60"
"fir engraver","Scolytus ventralis","59"
"Douglas-fir","Pseudotsuga menziesii","59"
"indigobush","Amorpha fruticosa","59"
"quackgrass","Elymus repens","57"
"wild buckwheat","Fallopia convolvulus","57"
"bald brome","Bromus racemosus","56"
"hairy vetch","Vicia villosa","56"
"moth mullein","Verbascum blattaria","56"
"pineapple-weed","Matricaria discoidea","55"
"smallseed falseflax","Camelina microcarpa","55"
"annual bluegrass","Poa annua","55"
"water speedwell","Veronica anagallis-aquatica","54"
"clasping pepperweed","Lepidium perfoliatum","54"
"green foxtail","Setaria viridis","54"
"tall fescue","Festuca arundinacea","53"
"everlasting peavine","Lathyrus latifolius","53"
"thymeleaf speedwell","Veronica serpyllifolia","53"
"multicolored Asian lady beetle","Harmonia axyridis","53"
"Canadian horseweed","Erigeron canadensis","51"
"yellow rocket","Barbarea vulgaris","51"
"spring whitlowgrass","Draba verna","51"
"medusahead","Taeniatherum caput-medusae","51"
"onion thrips","Thrips tabaci","51"
"dames rocket","Hesperis matronalis","50"
"purple loosestrife root mining weevil","Hylobius transversovittatus","50"
"gall midge","Jaapiella ivannikovi","50"
"stinking chamomile","Anthemis cotula","50"
"black-margined loosestrife beetle","Galerucella calmariensis","50"
"buckhorn plantain","Plantago lanceolata","49"
"barnyardgrass","Echinochloa crus-galli","49"
"catnip","Nepeta cataria","49"
"broadleaf plantain","Plantago major","48"
"common selfheal","Prunella vulgaris","48"
"henbit","Lamium amplexicaule","48"
"blue lettuce","Lactuca tatarica","46"
"water hemlock","Cicuta spp.","46"
"leafy spurge gall midge","Spurgia esulae","45"
"kingdevil hawkweed","Hieracium piloselloides","45"
"Russian thistle","Salsola tragus","44"
"Virginia pepperweed","Lepidium virginicum","44"
"johnsongrass","Sorghum halepense","44"
"lesser St. John's wort beetle","Chrysolina hyperici","44"
"common mouse-ear chickweed","Cerastium fontanum","43"
"toothed spurge","Euphorbia dentata","42"
"white horehound","Marrubium vulgare","42"
"intermediate wheatgrass","Thinopyrum intermedium","42"
"Canada bluegrass","Poa compressa","42"
"meadow fescue","Festuca pratensis","42"
"twolobe speedwell","Veronica biloba","41"
"absinth wormwood","Artemisia absinthium","40"
"spiny sowthistle","Sonchus asper","40"
"European red raspberry","Rubus idaeus","40"
"teasel","Dipsacus","40"
"ventenata","Ventenata dubia","40"
"ground ivy","Glechoma hederacea","40"
"black locust","Robinia pseudoacacia","39"
"common chickweed","Stellaria pallida","39"
"common reed","Phragmites australis","39"
"common duckweed","Lemna minor","37"
"Siberian elm","Ulmus pumila","36"
"pale smartweed","Polygonum lapathifolium","36"
"ponderosa pine","Pinus ponderosa","36"
"common water hyacinth","Eichhornia crassipes","36"
"black mustard","Brassica nigra","36"
"leaf beetles","Galerucella spp.","35"
"creeping bellflower","Campanula rapunculoides","35"
"long-horned beetle","Oberea spp.","35"
"alsike clover","Trifolium hybridum","35"
"creeping buttercup","Ranunculus repens","35"
"Armillaria root rots","Armillaria spp.","35"
"birdsrape mustard","Brassica rapa","34"
"rock dandelion","Taraxacum erythrospermum","34"
"ladysthumb","Persicaria maculosa","34"
"wild oat","Avena fatua","33"
"white campion","Silene latifolia","33"
"fivehook bassia","Bassia hyssopifolia","33"
"common cocklebur","Xanthium strumarium","32"
"Mexican fireweed","Bassia scoparia","32"
"curlycup gumweed","Grindelia squarrosa","31"
"iris yellow spot virus (IYSV)","Tospovirus IYSV","31"
"alfalfa","Medicago sativa","30"
"swainsonpea","Sphaerophysa salsula","30"
"Elaeagnus","Elaeagnus spp.","30"
"green bristlegrass","Setaria viridis var. viridis","30"
"hairy whitetop","Lepidium appelianum","30"
"cutleaf nightshade","Solanum triflorum","30"
"alpine knapweed, Tyrol knapweed","Centaurea nigrescens","30"
"stinkgrass","Eragrostis cilianensis","30"
"bouncingbet","Saponaria officinalis","29"
"Himalayan blackberry","Rubus armeniacus","29"
"myrtle spurge","Euphorbia myrsinites","29"
"mouse barley","Hordeum murinum","29"
"rust","Puccinia punctiformis","29"
"woodland strawberry","Fragaria vesca","28"
"dwarf alyssum","Alyssum desertorum","28"
"redstem stork's bill","Erodium cicutarium ssp. cicutarium","28"
"European common reed, Phragmites","Phragmites australis ssp. australis","28"
"bush honeysuckles (exotic)","Lonicera spp.","28"
"cluster tarweed","Madia glomerata","28"
"common purslane","Portulaca oleracea","28"
"wild licorice","Glycyrrhiza lepidota","28"
"wild mustard","Sinapis arvensis","27"
"corn speedwell","Veronica arvensis","27"
"European pine shoot moth","Rhyacionia buoliana","27"
"seaside barley","Hordeum marinum","27"
"brown dot leafy spurge flea beetle","Aphthona cyparissiae","27"
"bristlegrass","Setaria spp.","27"
"foxglove","Digitalis purpurea","26"
"spearmint","Mentha spicata","26"
"red sandspurry","Spergularia rubra","26"
"birdsfoot trefoil","Lotus corniculatus","26"
"Queen Anne's lace, wild carrot","Daucus carota","26"
"knapweeds","Centaurea","26"
"field horsetail","Equisetum arvense","26"
"white mulberry","Morus alba","26"
"meadow salsify","Tragopogon lamottei","25"
"hemp dogbane","Apocynum cannabinum","25"
"prostrate knotweed","Polygonum aviculare","25"
"American bullfrog","Lithobates catesbeianus","25"
"American mannagrass","Glyceria grandis var. grandis","25"
"annual sowthistle","Sonchus oleraceus","25"
"cherry plum","Prunus cerasifera","24"
"common chickweed","Stellaria media","24"
"purple deadnettle","Lamium purpureum","24"
"common groundsel","Senecio vulgaris","24"
"interrupted windgrass","Apera interrupta","24"
"wild parsnip","Pastinaca sativa","24"
"rattail fescue","Vulpia myuros","23"
"Syrian beancaper","Zygophyllum fabago","23"
"tall oatgrass","Arrhenatherum elatius","23"
"musk thistle head weevil","Rhinocyllus conicus","23"
"yellow hawkweed","Hieracium fendleri","23"
"skeletonleaf bursage","Ambrosia tomentosa","23"
"cypress spurge","Euphorbia cyparissias","23"
"thymeleaf sandwort","Arenaria serpyllifolia","23"
"pheasanteye adonis","Adonis annua","22"
"common salsify","Tragopogon porrifolius","22"
"sweetbriar","Rosa rubiginosa","22"
"bladder campion","Silene vulgaris","22"
"large crabgrass","Digitaria sanguinalis","22"
"rattlesnake brome","Bromus briziformis","22"
"water knotweed","Polygonum amphibium","22"
"toadflax flower-eating beetle","Brachypterolus pulicarius","22"
"thousand cankers disease","Geosmithia morbida","22"
"giant sumpweed","Cyclachaena xanthifolia","22"
"catchweed","Asperugo procumbens","21"
"poverty sumpweed","Iva axillaris","21"
"corn gromwell","Buglossoides arvensis","21"
"western sticktight","Lappula occidentalis","21"
"true forget-me-not","Myosotis scorpioides","21"
"mayweed, scentless chamomile","Tripleurospermum inodorum","21"
"bronze knapweed root borer","Sphenoptera jugoslavica","21"
"cornflower","Centaurea cyanus","21"
"crack willow","Salix fragilis","21"
"red fescue","Festuca rubra","20"
"field pepperweed","Lepidium campestre","20"
"rabbitfoot clover","Trifolium arvense","20"
"hop clover","Trifolium aureum","20"
"Skeletonweed gall mite","Aceria chondrillae","20"
"Rocky Mountain iris","Iris missouriensis","20"
"Himalayan balsam","Impatiens glandulifera","19"
"rye brome","Bromus secalinus","19"
"cutleaf blackberry","Rubus laciniatus","19"
"puncturevine seed weevil","Microlarinus lareynii","19"
"Deptford pink","Dianthus armeria","19"
"common cowparsnip","Heracleum maximum","19"
"claspleaf twistedstalk","Streptopus amplexifolius","19"
"European sticktight","Lappula squarrosa","19"
"alfalfa","Medicago sativa ssp. sativa","18"
"hedge mustard","Sisymbrium officinale","18"
"meadow foxtail","Alopecurus pratensis","18"
"Russian thistle","Salsola kali","18"
"velvetleaf","Abutilon theophrasti","18"
"smallseed alfalfa dodder","Cuscuta approximata","18"
"white poplar","Populus alba","18"
"bird vetch","Vicia cracca","17"
"golden loosestrife beetle","Galerucella pusilla","17"
"soft brome","Bromus hordeaceus","17"
"soft brome","Bromus hordeaceus ssp. hordeaceus","17"
"tree-of-heaven","Ailanthus altissima","17"
"buffalobur","Solanum rostratum","16"
"star-of-Bethlehem","Ornithogalum umbellatum","16"
"small hop clover","Trifolium dubium","16"
"sweet cherry","Prunus avium","16"
"common vetch","Vicia sativa","16"
"European mountain-ash","Sorbus aucuparia","16"
"white cockle","Silene latifolia ssp. alba","16"
"redroot pigweed","Amaranthus retroflexus","16"
"Mahaleb cherry","Prunus mahaleb","16"
"larch casebearer","Coleophora laricella","15"
"bermudagrass","Cynodon dactylon","15"
"longhorned beetle","Oberea erythrostoma","15"
"orbicular whitetop, lens-podded hoary cress","Lepidium chalepense","15"
"Norway maple","Acer platanoides","15"
"African mustard","Strigosella africana","15"
"Russian thistle moth","Coleophora klimeschiella","15"
"Siberian peashrub","Caragana arborescens","15"
"bristly foxtail","Setaria verticillata","15"
"salad burnet","Sanguisorba minor","15"
"asparagus","Asparagus officinalis","15"
"common ragweed","Ambrosia artemisiifolia","15"
"annual ragweed","Ambrosia artemisiifolia var. elatior","15"
"silver hairgrass","Aira caryophyllea","15"
"yellow alyssum","Alyssum alyssoides","15"
"biennial wormwood","Artemisia biennis","14"
"cowcockle","Vaccaria hispanica","14"
"fivestamen tamarisk","Tamarix chinensis","14"
"wild radish","Raphanus raphanistrum","14"
"large hop clover","Trifolium campestre","14"
"Venice mallow","Hibiscus trionum","14"
"white willow","Salix alba","14"
"redtop","Agrostis gigantea","14"
"leporinum barley","Hordeum murinum ssp. leporinum","14"
"cereal rye","Secale cereale","13"
"hairy cat's ear","Hypochaeris radicata","13"
"prostrate pigweed","Amaranthus blitoides","13"
"common pear","Pyrus communis","13"
"smooth barley","Hordeum murinum ssp. glaucum","13"
"tamarisk","Tamarix spp.","13"
"field bindweed moth","Tyta luctuosa","12"
"cocklebur","Xanthium","12"
"forest tent caterpillar","Malacosoma disstria","12"
"spiny cocklebur","Xanthium spinosum","12"
"Dutch elm disease (novi-ulmi)","Ophiostoma novo-ulmi","12"
"bushy wallflower","Erysimum repandum","12"
"yellow woodsorrel","Oxalis stricta","12"
"yellow starthistle bud weevil","Bangasternus orientalis","11"
"water foxtail","Alopecurus geniculatus","11"
"hairy nightshade","Solanum physalifolium","11"
"field cottonrose","Logfia arvensis","11"
"common caraway","Carum carvi","11"
"wild-proso millet","Panicum miliaceum","11"
"nipplewort","Lapsana communis","11"
"roughstalk bluegrass","Poa trivialis","11"
"common cattail","Typha latifolia","11"
"fragrant waterlily","Nymphaea odorata","11"
"banded elm bark beetle","Scolytus schevyrewi","11"
"giantseed goosefoot","Chenopodium simplex","11"
"common barberry","Berberis vulgaris","11"
"bluebuttons, field scabious","Knautia arvensis","11"
"plum","Prunus domestica","10"
"petty spurge","Euphorbia peplus","10"
"colonial bentgrass","Agrostis capillaris","10"
"pear sawfly","Caliroa cerasi","10"
"sainfoin","Onobrychis viciifolia","10"
"common velvetgrass","Holcus lanatus","10"
"common cornsalad","Valerianella locusta","10"
"smooth brome","Bromus inermis ssp. inermis var. inermis","10"
"dotted smartweed","Persicaria punctata","10"
"annual wheatgrass","Eremopyrum triticeum","10"
"meadow knapweed","Centaurea debeauxii","10"
"smooth hawksbeard","Crepis capillaris","10"
"strawberry root weevil","Otiorhynchus ovatus","10"
"spotted spurge","Euphorbia maculata","10"
"barley","Hordeum vulgare","9"
"fiveangled dodder","Cuscuta pentagona var. pentagona","9"
"silverleaf nightshade","Solanum elaeagnifolium","9"
"skeletonweed gall midge","Cystiphora schmidti","9"
"black leafy spurge flea beetle","Aphthona czwalinae","9"
"rose campion","Silene coronaria","9"
"tall wheatgrass","Thinopyrum ponticum","9"
