"Common Name","Scientific Name","Number of Records"
"Chinese silvergrass","Miscanthus sinensis","63"
"Cherokee rose","Rosa laevigata","62"
"coral ardisia","Ardisia crenata","62"
"sicklepod","Senna obtusifolia","62"
"common vetch","Vicia sativa","62"
"Phytophthora root rot","Phytophthora cinnamomi","62"
"goosegrass","Eleusine indica","62"
"black locust","Robinia pseudoacacia","60"
"bermudagrass","Cynodon dactylon","60"
"highbush blackberry","Rubus argutus","59"
"knotroot foxtail","Setaria parviflora","59"
"small carpetgrass, joint-head grass","Arthraxon hispidus","59"
"Virginia pepperweed","Lepidium virginicum","58"
"barnyardgrass","Echinochloa crus-galli","58"
"black stem borer, smaller alder bark beetle","Xylosandrus germanus","57"
"chestnut blight or canker","Cryphonectria parasitica","57"
"bahiagrass","Paspalum notatum","56"
"spiny sowthistle","Sonchus asper","55"
"sensitive partridgepea","Chamaecrista nictitans","54"
"perilla mint","Perilla frutescens","53"
"bagpod","Sesbania vesicaria","53"
"chinch bugs","Blissus spp.","53"
"watercress","Nasturtium officinale","52"
"Chinese holly","Ilex cornuta","50"
"paper-mulberry","Broussonetia papyrifera","50"
"crowfootgrass","Dactyloctenium aegyptium","50"
"curly dock","Rumex crispus","50"
"perennial ryegrass","Lolium perenne","50"
"spanishneedles","Bidens bipinnata","50"
"Asiatic dayflower","Commelina communis","49"
"crapemyrtle","Lagerstroemia indica","48"
"false strawberry","Potentilla indica","48"
"southern crabgrass","Digitaria ciliaris","48"
"oxeye daisy","Leucanthemum vulgare","47"
"corn speedwell","Veronica arvensis","47"
"lambsquarters","Chenopodium album","47"
"Chinese yam","Dioscorea polystachya","47"
"ivyleaf morning-glory","Ipomoea hederacea","47"
"bull thistle","Cirsium vulgare","47"
"big periwinkle","Vinca major","47"
"black twig borer","Xylosandrus compactus","47"
"sorghum midge","Contarinia sorghicola","46"
"mexicantea","Dysphania ambrosioides","45"
"tall vervain","Verbena bonariensis","45"
"monkeygrass","Liriope muscari","45"
"coco yam, wild taro","Colocasia esculenta","44"
"eclipta","Eclipta prostrata","44"
"island applesnail","Pomacea maculata","44"
"haspan flatsedge","Cyperus haspan","44"
"ambrosia beetles","Xyleborus spp.","44"
"Florida betony","Stachys floridana","43"
"","","43"
"horsenettle","Solanum carolinense","43"
"hybrid imported fire ant","Solenopsis invicta x richteri","43"
"ambrosia beetles","Ambrosiodmus spp.","43"
"fruit-tree pinhole borer","Xyleborinus saxeseni","43"
"tall morning-glory","Ipomoea purpurea","43"
"carpetgrass","Axonopus fissifolius","42"
"common cocklebur","Xanthium strumarium","42"
"Japanese spiraea","Spiraea japonica","42"
"Brazilian waterweed, Brazilian elodea","Egeria densa","42"
"jimsonweed","Datura stramonium","42"
"curly dock","Rumex crispus ssp. crispus","42"
"Russian olive","Elaeagnus angustifolia","41"
"tawny daylily","Hemerocallis fulva","41"
"hydrilla","Hydrilla verticillata","40"
"indigobush","Amorpha fruticosa","40"
"ladysthumb","Persicaria maculosa","40"
"blueberry leaf rust","Naohidemyces vaccinii","39"
"sticky chickweed","Cerastium glomeratum","39"
"southern sandbur","Cenchrus echinatus","38"
"yellow sweet-clover","Melilotus officinalis","38"
"red sorrel","Rumex acetosella","38"
"downy maiden fern","Cyclosorus dentatus","38"
"brittleleaf naiad","Najas minor","38"
"orchardgrass","Dactylis glomerata","38"
"common periwinkle","Vinca minor","37"
"Exobasidium leaf and fruit spot","Exobasidium maculosum","37"
"spiny amaranth","Amaranthus spinosus","37"
"large crabgrass","Digitaria sanguinalis","37"
"Oriental lady's thumb","Polygonum posumbu","37"
"common ragweed","Ambrosia artemisiifolia","36"
"purple nutsedge","Cyperus rotundus","36"
"rabbitfoot clover","Trifolium arvense","36"
"American burnweed","Erechtites hieraciifolius","36"
"bacterial leaf scorch","Xylella fastidiosa","35"
"whorled pennywort","Hydrocotyle verticillata","35"
"Amur honeysuckle","Lonicera maackii","34"
"Argentine black and white tegu","Salvator merianae","34"
"bamboo","Bambusa","34"
"leafhoppers","","34"
"red morning-glory","Ipomoea coccinea","34"
"periwinkle","Vinca","34"
"wild garlic","Allium vineale","33"
"yellow foxtail","Setaria pumila","33"
"rescuegrass","Bromus catharticus","32"
"pitted morning-glory","Ipomoea lacunosa","32"
"shepherd's-purse","Capsella bursa-pastoris","31"
"yellow nutsedge","Cyperus esculentus","31"
"tall lettuce","Lactuca canadensis","31"
"junglerice","Echinochloa colona","31"
"eastern white pine","Pinus strobus","31"
"dotted duckmeat","Landoltia punctata","31"
"cereal leaf beetle","Oulema melanopus","30"
"tar spot of corn","Phyllachora maydis","30"
"tarweed cuphea","Cuphea carthagenensis","29"
"coffee senna","Senna occidentalis","28"
"air-potato","Dioscorea bulbifera","28"
"common chickweed","Stellaria pallida","28"
"non-native yams","Dioscorea spp. (non-native)","28"
"moth mullein","Verbascum blattaria","28"
"anglestem beaksedge","Rhynchospora caduca","28"
"sweet vernalgrass","Anthoxanthum odoratum","28"
"tungoil tree","Vernicia fordii","28"
"field brome","Bromus arvensis","27"
"Kentucky bluegrass","Poa pratensis","27"
"bracted plantain","Plantago aristata","27"
"small hop clover","Trifolium dubium","27"
"autumn olive","Elaeagnus umbellata var. parvifolia","27"
"creeping bentgrass","Agrostis stolonifera","27"
"catchweed bedstraw","Galium aparine","26"
"moss vervain","Glandularia pulchella","26"
"deeprooted sedge","Cyperus entrerianus","26"
"longspine sandbur","Cenchrus longispinus","26"
"white mulberry","Morus alba","26"
"peanut rust","Puccinia arachidis","26"
"passionflower","Passiflora edulis","26"
"bristlegrass","Setaria spp.","25"
"wild onion","Allium canadense","25"
"rice flatsedge","Cyperus iria","25"
"stinking chamomile","Anthemis cotula","25"
