"Common Name","Scientific Name","Number of Records"
"glossy privet","Ligustrum lucidum","43"
"torpedograss","Panicum repens","42"
"hydrilla","Hydrilla verticillata","42"
"Brazilian waterweed, Brazilian elodea","Egeria densa","42"
"lambsquarters","Chenopodium album","42"
"chestnut blight or canker","Cryphonectria parasitica","42"
"yellow nutsedge","Cyperus esculentus","42"
"orchardgrass","Dactylis glomerata","41"
"stinking chamomile","Anthemis cotula","41"
"indigobush","Amorpha fruticosa","41"
"red morning-glory","Ipomoea coccinea","40"
"chamber bitter","Phyllanthus urinaria","40"
"sweet autumn virginsbower","Clematis terniflora","40"
"spanishneedles","Bidens bipinnata","40"
"memorial rose","Rosa lucieae","40"
"American burnweed","Erechtites hieraciifolius","39"
"thymeleaf sandwort","Arenaria serpyllifolia","39"
"tall morning-glory","Ipomoea purpurea","38"
"bouncingbet","Saponaria officinalis","38"
"wild garlic","Allium vineale","38"
"rose rosette disease (RRD)","Emaravirus RRD","38"
"Honduras pine","Pinus elliottii var. elliottii","38"
"tall vervain","Verbena bonariensis","37"
"bigroot morning-glory","Ipomoea pandurata","37"
"Uruguayan pampas grass","Cortaderia selloana","37"
"big periwinkle","Vinca major","37"
"rye brome","Bromus secalinus","37"
"jimsonweed","Datura stramonium","36"
"small hop clover","Trifolium dubium","36"
"anglestem beaksedge","Rhynchospora caduca","36"
"oxeye daisy","Leucanthemum vulgare","36"
"Elaeagnus","Elaeagnus spp.","36"
"hybrid imported fire ant","Solenopsis invicta x richteri","36"
"junglerice","Echinochloa colona","36"
"spotted waterhemlock","Cicuta maculata","35"
"white poplar","Populus alba","35"
"peach","Prunus persica","35"
"Phytophthora root rot","Phytophthora cinnamomi","34"
"crowfootgrass","Dactyloctenium aegyptium","34"
"mexicantea","Dysphania ambrosioides","34"
"common pear","Pyrus communis","34"
"corn gromwell","Buglossoides arvensis","34"
"moth mullein","Verbascum blattaria","33"
"Chinese yam","Dioscorea polystachya","33"
"small carpetgrass, joint-head grass","Arthraxon hispidus","33"
"camphortree","Cinnamomum camphora","33"
"cheatgrass, downy brome","Bromus tectorum","33"
"cutleaf geranium","Geranium dissectum","32"
"perilla mint","Perilla frutescens","32"
"ivy","Hedera spp.","32"
"haspan flatsedge","Cyperus haspan","32"
"brittleleaf naiad","Najas minor","31"
"common purslane","Portulaca oleracea","31"
"southern sandbur","Cenchrus echinatus","31"
"spreading hedgeparsley","Torilis arvensis ssp. arvensis","31"
"purple deadnettle","Lamium purpureum","31"
"violet crabgrass","Digitaria violascens","30"
"cornflower","Centaurea cyanus","30"
"air-potato","Dioscorea bulbifera","30"
"water hyacinth","Eichhornia spp.","30"
"rabbitfoot clover","Trifolium arvense","30"
"spreading hedgeparsley","Torilis arvensis","30"
"musk thistle, nodding thistle","Carduus nutans","30"
"pale smartweed","Polygonum lapathifolium","29"
"carpetgrass","Axonopus fissifolius","29"
"wild radish","Raphanus raphanistrum","29"
"fragrant waterlily","Nymphaea odorata","29"
"field dodder","Cuscuta pentagona","29"
"Chinese parasoltree","Firmiana simplex","29"
"hairy cat's ear","Hypochaeris radicata","29"
"wild onion","Allium canadense","29"
"poison-sumac","Toxicodendron vernix","28"
"paradise apple","Malus pumila","28"
"green foxtail","Setaria viridis","27"
"bald brome","Bromus racemosus","27"
"laurel wilt","Raffaelea lauricola","27"
"cattail","Typha spp.","27"
"balloonvine","Cardiospermum halicacabum","27"
"giant cutgrass","Zizaniopsis miliacea","27"
"tungoil tree","Vernicia fordii","27"
"green bristlegrass","Setaria viridis var. viridis","27"
"sulfur cinquefoil","Potentilla recta","27"
"Cherokee rose","Rosa laevigata","26"
"bristlegrass","Setaria spp.","26"
"bull thistle","Cirsium vulgare","26"
"Kentucky bluegrass","Poa pratensis","26"
"lesser swinecress","Coronopus didymus","26"
"marsh dayflower","Murdannia keisak","26"
"starch grape hyacinth","Muscari neglectum","26"
"rattail fescue","Vulpia myuros","25"
"tarweed cuphea","Cuphea carthagenensis","25"
"denseflower knotweed","Persicaria glabra","25"
"lesser celandine, fig buttercup","Ficaria verna","25"
"Asiatic hawksbeard","Youngia japonica","25"
"curly leaf pondweed","Potamogeton crispus","25"
"European common reed, Phragmites","Phragmites australis ssp. australis","25"
"hemp sesbania","Sesbania exaltata","24"
"dwarf violet iris","Iris verna","24"
"ladysthumb","Persicaria maculosa","24"
"Virginia groundcherry","Physalis virginiana var. virginiana","24"
"red sorrel","Rumex acetosella","24"
"crapemyrtle bark scale","Acanthococcus lagerstroemiae","23"
"California burclover","Medicago polymorpha","23"
"hairy fleabane","Conyza bonariensis","23"
"Florida betony","Stachys floridana","23"
"Oriental lady's thumb","Polygonum posumbu","22"
"star-of-Bethlehem","Ornithogalum umbellatum","22"
"green kyllinga","Kyllinga brevifolia","21"
"hemp dogbane","Apocynum cannabinum","21"
"bagpod","Sesbania vesicaria","21"
"ground ivy","Glechoma hederacea","21"
"rose of Sharon","Hibiscus syriacus","21"
"spring whitlowgrass","Draba verna","20"
"Eurasian collared-dove","Streptopelia decaocto","20"
"prickly lettuce","Lactuca serriola","20"
"coffee senna","Senna occidentalis","20"
"common periwinkle","Vinca minor","20"
"meadow fescue","Festuca pratensis","20"
"dogwood anthracnose","Discula destructiva","20"
"water fern","Salvinia minima","20"
"Thunberg's meadowsweet","Spiraea thunbergii","20"
"weeping lovegrass","Eragrostis curvula","20"
"common St. Johnswort","Hypericum perforatum","19"
"stinkgrass","Eragrostis cilianensis","19"
"hedge mustard","Sisymbrium officinale","19"
"slender amaranth","Amaranthus viridis","19"
"primrose-willow","Ludwigia spp.","19"
"everlasting peavine","Lathyrus latifolius","19"
"tievine","Ipomoea cordatotriloba var. cordatotriloba","19"
"purple crown-vetch","Securigera varia","19"
"bamboo","Bambusa","19"
"Chinese elm","Ulmus parvifolia","19"
"annual sowthistle","Sonchus oleraceus","18"
"largeleaf lantana","Lantana camara","18"
"Himalayan blackberry","Rubus bifrons","18"
"bighead carp","Hypophthalmichthys nobilis","18"
"round leaf bittersweet","Celastrus orbiculatus","18"
"giant foxtail","Setaria faberi","18"
"Korean lespedeza","Kummerowia stipulacea","17"
"creeping waterprimrose","Ludwigia peploides","17"
