"Common Name","Scientific Name","Number of Records"
"wild buckwheat","Fallopia convolvulus","48"
"sticky chickweed","Cerastium glomeratum","48"
"forest tent caterpillar","Malacosoma disstria","47"
"smooth cat's ear","Hypochaeris glabra","46"
"red morning-glory","Ipomoea coccinea","46"
"wild marigold","Tagetes minuta","46"
"fire ant decapitating fly","Pseudacteon curvatus","46"
"garden vetch","Vicia sativa ssp. nigra","45"
"bracted plantain","Plantago aristata","45"
"fusiform rust","Cronartium quercuum f.sp. fusiforme","45"
"bouncingbet","Saponaria officinalis","45"
"eastern poison-ivy","Toxicodendron radicans","44"
"Cherokee rose","Rosa laevigata","44"
"common ragweed","Ambrosia artemisiifolia","44"
"parrotfeather","Myriophyllum aquaticum","43"
"rose rosette disease (RRD)","Emaravirus RRD","43"
"horsenettle","Solanum carolinense","42"
"Uruguayan vervain","Verbena montevidensis","42"
"haspan flatsedge","Cyperus haspan","42"
"cressleaf groundsel","Packera glabella","42"
"dandelion","Taraxacum officinale","42"
"anglestem beaksedge","Rhynchospora caduca","42"
"sensitive partridgepea","Chamaecrista nictitans","41"
"sweet vernalgrass","Anthoxanthum odoratum","41"
"southern sandbur","Cenchrus echinatus","40"
"rye brome","Bromus secalinus","40"
"thymeleaf sandwort","Arenaria serpyllifolia","39"
"sugarcane aphid","Melanaphis sacchari","39"
"northern catalpa","Catalpa speciosa","39"
"alsike clover","Trifolium hybridum","39"
"hairy cat's ear","Hypochaeris radicata","39"
"big chickweed","Cerastium fontanum ssp. vulgare","38"
"bigroot morning-glory","Ipomoea pandurata","37"
"moth mullein","Verbascum blattaria","37"
"bald brome","Bromus racemosus","37"
"Mascarene Island leaf-flower","Phyllanthus tenellus","36"
"field brome","Bromus arvensis","36"
"bristlegrass","Setaria spp.","35"
"perilla mint","Perilla frutescens","35"
"violet crabgrass","Digitaria violascens","35"
"creeping bentgrass","Agrostis stolonifera","34"
"yellow nutsedge","Cyperus esculentus","34"
"Florida betony","Stachys floridana","34"
"bull thistle","Cirsium vulgare","34"
"Kentucky bluegrass","Poa pratensis","34"
"hemp dogbane","Apocynum cannabinum","34"
"ivy","Hedera spp.","34"
"bagpod","Sesbania vesicaria","34"
