"Common Name","Scientific Name","Number of Records"
"strawberry guava","Psidium cattleyanum","294"
"Jamaica feverplant","Tribulus cistoides","291"
"white clover","Trifolium repens","288"
"queen palm","Syagrus romanzoffiana","284"
"smutgrass","Sporobolus indicus","282"
"Britton's wild petunia","Ruellia simplex","281"
"day jessamine","Cestrum diurnum","278"
"catclaw mimosa","Mimosa pigra","275"
"cathedral bells","Kalanchoe pinnata","272"
"Madagascar periwinkle","Catharanthus roseus","270"
"arrowleaf elephant's ear","Xanthosoma sagittifolium","260"
"bullseye snakehead","Channa marulius","260"
"lakeshore nutrush","Scleria lacustris","255"
"common myna","Acridotheres tristis","255"
"white-footed mosquito","Psorophora ferox","249"
"veiled chameleon","Chamaeleo calyptratus","246"
"brahminy blind snake","Ramphotyphlops braminus","242"
"rhesus monkey","Macaca mulatta","228"
"tropical almond","Terminalia catappa","225"
"African spurred tortoise","Geochelone sulcata","225"
"Washington fan palm","Washingtonia robusta","222"
"catclaw-vine","Macfadyena unguis-cati","214"
"mosquito","Culex pilosus","209"
"balsamapple","Momordica charantia","207"
"Mediterranean gecko","Hemidactylus turcicus","203"
"smooth crotalaria","Crotalaria pallida","202"
"hill myna","Gracula religiosa","196"
"Gambian pouched rat","Cricetomys gambianus","195"
"cucurbit downy mildew","Pseudoperonospora cubensis","194"
"giant tiger prawn","Penaeus monodon","193"
"hairy indigo","Indigofera hirsuta","187"
"bahiagrass","Paspalum notatum","185"
"common purslane","Portulaca oleracea","183"
"nutria","Myocastor coypus","183"
"unidentified spiny-tailed iguana","Ctenosaura spp.","182"
"spotted spurge","Euphorbia maculata","182"
"sisal","Agave sisalana","182"
"mosquito","Culex restuans","179"
"simpleleaf chastetree","Vitex trifolia","177"
"Callery pear (Bradford pear)","Pyrus calleryana","177"
"Asian swordfern","Nephrolepis brownii","177"
"centipede tongavine","Epipremnum pinnatum","175"
"spotted tilapia","Tilapia mariae","174"
"walking catfish","Clarias batrachus","172"
"tungoil tree","Vernicia fordii","172"
"blue tilapia","Oreochromis aureus","168"
"golden bamboo","Phyllostachys aurea","168"
"thorny olive","Elaeagnus pungens","166"
"red-eared slider","Trachemys scripta elegans","166"
"gray sheoak","Casuarina glauca","163"
"Brazilian jasmine","Jasminum fluminense","162"
"white-winged parakeet","Brotogeris versicolurus","158"
"flamegold","Koelreuteria elegans ssp. formosana","158"
"African collared dove","Streptopelia roseogrisea","157"
"brown hoplo","Hoplosternum littorale","157"
"St. Augustinegrass","Stenotaphrum secundatum","156"
"mosquito","Wyeomyia mitchellii","156"
"pythons","Python spp.","149"
"mollusc-eating hammerhead worm","Bipalium vagum","148"
"wetland nightshade","Solanum tampicense","147"
"air potato leaf beetle","Lilioceris cheni","146"
"blue-crowned parakeet","Aratinga acuticaudata","146"
"unidentified monitor","Varanus spp.","143"
"Browne's blechum","Ruellia blechum","141"
"papaya","Carica papaya","140"
"coconut palm","Cocos nucifera","139"
"mitred parakeet","Aratinga mitrata","138"
"johnsongrass","Sorghum halepense","136"
"bermudagrass","Cynodon dactylon","136"
"mute swan","Cygnus olor","136"
"green mussel","Perna viridis","135"
"sicklepod","Senna obtusifolia","134"
"mosquito","Uranotaenia sapphirina","134"
"black acara","Cichlasoma bimaculatum","133"
"sea hibiscus","Talipariti tiliaceum var. tiliaceum","132"
"anthracnose","Colletotrichum spp.","129"
"sacred ibis","Threskiornis aethiopicus","129"
"haspan flatsedge","Cyperus haspan","128"
"coral vine","Antigonon leptopus","128"
"Canadian horseweed","Erigeron canadensis","127"
"monk orchid","Oeceoclades maculata","127"
"yellow-chevroned parakeet","Brotogeris chiriri","126"
"sensitive partridgepea","Chamaecrista nictitans","125"
"dotted smartweed","Persicaria punctata","124"
"Virginia pepperweed","Lepidium virginicum","124"
"saltmarsh mosquito","Aedes sollicitans","122"
"dotted duckmeat","Landoltia punctata","120"
"broomsedge bluestem","Andropogon virginicus","119"
"goosegrass","Eleusine indica","119"
"red-crowned parrot","Amazona viridigenalis","117"
"winged yam","Dioscorea alata","117"
"cutleaf evening-primrose","Oenothera laciniata","116"
"parrotfeather","Myriophyllum aquaticum","116"
"blackchin tilapia","Sarotherodon melanotheron","116"
"American burnweed","Erechtites hieraciifolius","116"
"eclipta","Eclipta prostrata","115"
"knotroot foxtail","Setaria parviflora","114"
"red-masked parakeet","Aratinga erythrogenys","114"
"longfruited primrose-willow","Ludwigia octovalvis","112"
"Cuban bulrush","Oxycaryum cubense","111"
"tarweed cuphea","Cuphea carthagenensis","111"
"twoleaf nightshade","Solanum diphyllum","111"
"clubed begonia","Begonia cucullata","110"
"Savannah monitor","Varanus exanthematicus","109"
"giant reed","Arundo donax","108"
"eastern redcedar","Juniperus virginiana","108"
"greater flamingo","Phoenicopterus ruber","107"
"mexicantea","Dysphania ambrosioides","107"
"","Pterois spp.","107"
"coffee senna","Senna occidentalis","106"
"mile-a-minute","Mikania micrantha","105"
"Long's sedge","Carex longii","105"
"cane toad","Bufo marinus","105"
"rose-ringed parakeet","Psittacula krameri","104"
"knight anole","Anolis equestris equestris","104"
"Indian rosewood","Dalbergia sissoo","103"
"roof rat","Rattus rattus","102"
"eastern poison-ivy","Toxicodendron radicans","102"
"Asiatic hawksbeard","Youngia japonica","102"
"widow's-thrill","Kalanchoe spp.","101"
"Gold Coast jasmine","Jasminum dichotomum","100"
"red mangrove","Rhizophora mangle","100"
"Florida betony","Stachys floridana","98"
"southern crabgrass","Digitaria ciliaris","98"
"hairy beggarticks","Bidens pilosa","97"
"creeping beggarweed","Desmodium incanum","96"
"mosquito","Aedes vexans","95"
"Cupid's-shaving-brush","Emilia fosbergii","95"
"garden spurge","Chamaesyce hirta","95"
"tievine","Ipomoea cordatotriloba var. cordatotriloba","95"
"carpetgrass","Axonopus fissifolius","94"
"spiny sowthistle","Sonchus asper","92"
"henbit","Lamium amplexicaule","91"
"praxelis","Praxelis clematidea","91"
"southern sandbur","Cenchrus echinatus","91"
"sour orange","Citrus x aurantium","91"
"purple cudweed","Gamochaeta purpurea","91"
"bagpod","Sesbania vesicaria","90"
"common pokeweed","Phytolacca americana","90"
"umbrella plant","Cyperus involucratus","90"
"Geminivirus","Geminivirus spp.","89"
"annual sowthistle","Sonchus oleraceus","89"
"bloodflower milkweed","Asclepias curassavica","89"
"beach vitex","Vitex rotundifolia","89"
"yellow sweet-clover","Melilotus officinalis","89"
"sailfin catfish","Pterygoplichthys spp.","88"
"Japanese privet","Ligustrum japonicum","88"
"mountain ebony","Bauhinia variegata","88"
"wild bushbean","Macroptilium lathyroides","88"
"whorled pennywort","Hydrocotyle verticillata","88"
"black medic","Medicago lupulina","87"
"Botryosphaeria rots and cankers","Botryosphaeria spp.","87"
"waterpurslane","Ludwigia palustris","86"
"Cercospora fungi","Cercospora spp.","86"
"bottlebrush","Callistemon viminalis","86"
"Eulophia ground orchid","Eulophia graminea","86"
"Japanese clover","Kummerowia striata","86"
"spiny amaranth","Amaranthus spinosus","85"
"highbush blackberry","Rubus argutus","83"
"council tree","Ficus altissima","83"
"turk's turbin","Clerodendrum indicum","83"
"mosquito","Mansonia dyari","82"
"red-whiskered bulbul","Pycnonotus jocosus","82"
"green kyllinga","Kyllinga brevifolia","81"
"perennial ryegrass","Lolium perenne","80"
