"Common Name","Scientific Name","Number of Records"
"creeping bentgrass","Agrostis stolonifera","20"
"thymeleaf speedwell","Veronica serpyllifolia","20"
"smooth barley","Hordeum murinum ssp. glaucum","20"
"tall wheatgrass","Thinopyrum ponticum","20"
"copper leafy spurge flea beetle","Aphthona flava","20"
"European common reed, Phragmites","Phragmites australis ssp. australis","20"
"bulbous bluegrass","Poa bulbosa","19"
"common burdock, lesser burdock","Arctium minus","19"
"swordleaf rush","Juncus ensifolius","19"
"common mouse-ear chickweed","Cerastium fontanum","19"
"Douglas-fir beetle","Dendroctonus pseudotsugae","19"
"common dandelion","Taraxacum officinale ssp. officinale","19"
"large crabgrass","Digitaria sanguinalis","19"
"tall fescue","Festuca arundinacea","19"
"lesser knapweed flower weevil","Larinus minutus","19"
"hemp dogbane","Apocynum cannabinum","19"
"barnyardgrass","Echinochloa crus-galli","19"
"Himalayan blackberry","Rubus armeniacus","18"
"annual sowthistle","Sonchus oleraceus","18"
"stinkgrass","Eragrostis cilianensis","18"
"brown-legged spurge flea beetle","Aphthona lacertosa","18"
"red clover","Trifolium pratense","18"
"buckhorn plantain","Plantago lanceolata","18"
"annual yellow sweetclover","Melilotus indicus","17"
"pale smartweed","Polygonum lapathifolium","17"
"field brome","Bromus arvensis","17"
"poverty sumpweed","Iva axillaris","17"
"smallflower tamarisk","Tamarix parviflora","17"
"spruce beetle","Dendroctonus rufipennis","17"
"black leafy spurge flea beetle","Aphthona czwalinae","17"
"ravennagrass","Saccharum ravennae","17"
"green foxtail","Setaria viridis","16"
"ripgut brome","Bromus diandrus var. rigidus","16"
"meadow fescue","Festuca pratensis","16"
"common salsify","Tragopogon porrifolius","16"
"hairy nightshade","Solanum physalifolium","16"
"common St. Johnswort","Hypericum perforatum","16"
"gall midge","Jaapiella ivannikovi","16"
"pig (feral), wild boar at large","Sus scrofa (feral type)","16"
"reed canarygrass","Phalaris arundinacea","16"
"buffelgrass","Cenchrus ciliaris","15"
"curly leaf pondweed","Potamogeton crispus","15"
"buffalobur","Solanum rostratum","15"
"dodder","Cuscuta","15"
"elongated mustard","Brassica elongata","15"
"Elaeagnus","Elaeagnus spp.","14"
"rattail fescue","Vulpia myuros","14"
