"Common Name","Scientific Name","Number of Records"
"common chickweed","Stellaria pallida","133"
"broomsedge bluestem","Andropogon virginicus","132"
"green foxtail","Setaria viridis","132"
"tall fescue","Festuca arundinacea","130"
"shepherd's-purse","Capsella bursa-pastoris","130"
"crowfootgrass","Dactyloctenium aegyptium","130"
"pitted morning-glory","Ipomoea lacunosa","127"
"watercress","Nasturtium officinale","127"
"rose","Rosa spp.","127"
"microsporidia protozoa","Kneallhazia solenopsae","127"
"red imported fire ant","Solenopsis invicta","126"
"London rocket","Sisymbrium irio","126"
"bloodflower milkweed","Asclepias curassavica","125"
"kudzu","Pueraria montana var. lobata","123"
"smutgrass","Sporobolus indicus","123"
"Texas blueweed","Helianthus ciliaris","122"
"tamarisk","Tamarix spp.","121"
"curly dock","Rumex crispus ssp. crispus","120"
"Uruguayan pampas grass","Cortaderia selloana","119"
"multiflora rose","Rosa multiflora","118"
"red sesbania","Sesbania punicea","118"
"tievine","Ipomoea cordatotriloba var. cordatotriloba","118"
"castorbean","Ricinus communis","115"
"green sunfish","Lepomis cyanellus","115"
"giant salvinia","Salvinia molesta","114"
"white mulberry","Morus alba","112"
"bigpod sesbania","Sesbania herbacea","111"
"mexicantea","Dysphania ambrosioides","110"
"white leadtree","Leucaena leucocephala","109"
"Mexican fireweed","Bassia scoparia","109"
"bush honeysuckles (exotic)","Lonicera spp.","108"
"Brazilian vervain","Verbena incompta","107"
"rye brome","Bromus secalinus","106"
"large crabgrass","Digitaria sanguinalis","105"
"starch grape hyacinth","Muscari neglectum","104"
"Cretanweed","Hedypnois cretica","104"
"false strawberry","Potentilla indica","103"
"slender snakecotton","Froelichia gracilis","103"
"whorled pennywort","Hydrocotyle verticillata","103"
"jointed goatgrass","Aegilops cylindrica","102"
"wavyleaf thistle","Cirsium undulatum","100"
"fire ant decapitating fly","Pseudacteon obtusus","99"
"guineagrass","Megathyrsus maximus","99"
"green stink bug","Chinavia hilaris","99"
"Brazilian peppertree","Schinus terebinthifolia","99"
"fivestamen tamarisk","Tamarix chinensis","99"
"big periwinkle","Vinca major","99"
"European common reed, Phragmites","Phragmites australis ssp. australis","99"
"purple cudweed","Gamochaeta purpurea","99"
"waterpurslane","Ludwigia palustris","98"
"balloonvine","Cardiospermum halicacabum","96"
"lilyturf","Liriope spp.","95"
"weeping lovegrass","Eragrostis curvula","94"
"paper-mulberry","Broussonetia papyrifera","93"
"chamber bitter","Phyllanthus urinaria","93"
"cheatgrass, downy brome","Bromus tectorum","92"
"white sweetclover","Melilotus albus","92"
"lambsquarters","Chenopodium album","91"
"deeprooted sedge","Cyperus entrerianus","91"
"yellow foxtail","Setaria pumila","89"
"carpetgrass","Axonopus fissifolius","89"
"common groundsel","Senecio vulgaris","88"
"common four-o'clock","Mirabilis jalapa","87"
"alfalfa","Medicago sativa","87"
"scarlet gaura","Gaura coccinea","87"
"St. Augustinegrass","Stenotaphrum secundatum","87"
"rough peavine","Lathyrus hirsutus","86"
"little burclover","Medicago minima","86"
"scarlet spiderling","Boerhavia coccinea","84"
"parrotfeather","Myriophyllum aquaticum","83"
"corn speedwell","Veronica arvensis","83"
"flixweed","Descurainia sophia","82"
"Indian heliotrope","Heliotropium indicum","80"
"longspine sandbur","Cenchrus longispinus","80"
"common ragweed","Ambrosia artemisiifolia","80"
"English catchfly","Silene gallica","79"
"water lettuce","Pistia stratiotes","79"
"fragrant waterlily","Nymphaea odorata","78"
"rice stink bug","Oebalus pugnax","77"
"Asiatic hawksbeard","Youngia japonica","76"
"devil's-claw","Proboscidea louisianica","75"
"hairypink","Petrorhagia dubia","75"
"blue panicum","Panicum antidotale","74"
"sorghum (type unspecified)","Sorghum bicolor","73"
"chokeberry","Photinia x fraseri","73"
"Hessian fly","Mayetiola destructor","73"
"water-bent","Polypogon viridis","72"
"sharppod morning-glory","Ipomoea cordatotriloba","72"
"longfruited primrose-willow","Ludwigia octovalvis","72"
"paradise poinciana","Caesalpinia gilliesii","70"
"bracted plantain","Plantago aristata","70"
"stinking chamomile","Anthemis cotula","68"
"Long's sedge","Carex longii","67"
"fall panicum","Panicum dichotomiflorum","67"
"tree tobacco","Nicotiana glauca","67"
"broadleaf plantain","Plantago major","67"
"smallflower morningglory","Jacquemontia tamnifolia","66"
"wild four-o'clock","Mirabilis nyctaginea","65"
"shrubby lespedeza","Lespedeza bicolor","64"
"mollusc-eating hammerhead worm","Bipalium vagum","64"
"wheat leaf rust","Puccinia recondita","64"
"little mallow","Malva parviflora","64"
"hairy bush clovers","Lespedeza","64"
"American burnweed","Erechtites hieraciifolius","62"
"pale dock","Rumex altissimus","62"
"spiny amaranth","Amaranthus spinosus","62"
"yellowspine thistle","Cirsium ochrocentrum","62"
"highbush blackberry","Rubus argutus","61"
"mournful widow","Sixalix atropurpurea","61"
