"Common Name","Scientific Name","Number of Records"
"kudzu","Pueraria montana var. lobata","39"
"creeping waterprimrose","Ludwigia peploides","38"
"waterpurslane","Ludwigia palustris","38"
"winter creeper","Euonymus fortunei","38"
"crapemyrtle bark scale","Acanthococcus lagerstroemiae","37"
"hemp dogbane","Apocynum cannabinum","37"
"green bristlegrass","Setaria viridis var. viridis","37"
"northern catalpa","Catalpa speciosa","36"
"common reed","Phragmites australis","36"
"house sparrow","Passer domesticus","36"
"stinking chamomile","Anthemis cotula","35"
"big chickweed","Cerastium fontanum ssp. vulgare","35"
"red imported fire ant","Solenopsis invicta","35"
"Siberian elm","Ulmus pumila","35"
"common dandelion","Taraxacum officinale ssp. officinale","34"
"big periwinkle","Vinca major","34"
"southern pine beetle","Dendroctonus frontalis","33"
"pitted morning-glory","Ipomoea lacunosa","33"
"white horehound","Marrubium vulgare","33"
"Eurasian watermilfoil","Myriophyllum spicatum","33"
"spanishneedles","Bidens bipinnata","32"
"Japanese clover","Kummerowia striata","32"
"wheat leaf rust","Puccinia recondita","32"
"Russian olive","Elaeagnus angustifolia","32"
"flixweed","Descurainia sophia","32"
"yellow rocket","Barbarea vulgaris","32"
"weeping lovegrass","Eragrostis curvula","31"
"yellow nutsedge","Cyperus esculentus","31"
"ground ivy","Glechoma hederacea","31"
"Kentucky bluegrass","Poa pratensis","30"
"wavyleaf thistle","Cirsium undulatum","30"
"spreading hedgeparsley","Torilis arvensis ssp. arvensis","30"
"common mouse-ear chickweed","Cerastium fontanum","29"
"small hop clover","Trifolium dubium","29"
"Virginia groundcherry","Physalis virginiana var. virginiana","29"
"oxeye daisy","Leucanthemum vulgare","29"
"bald brome","Bromus racemosus","29"
"ivyleaf morning-glory","Ipomoea hederacea","29"
"parrotfeather","Myriophyllum aquaticum","28"
"cattle egret","Bubulcus ibis","28"
"horsenettle","Solanum carolinense","28"
"West Indian nightshade","Solanum ptychanthum","28"
"longleaf groundcherry","Physalis longifolia","28"
"house mouse","Mus musculus","28"
"chinaberry","Melia azedarach","28"
"mulberryweed","Fatoua villosa","28"
"Mexican fireweed","Bassia scoparia","28"
"rock dandelion","Taraxacum erythrospermum","27"
"bigroot morning-glory","Ipomoea pandurata","27"
"tumble mustard","Sisymbrium altissimum","27"
"hairy bittercress","Cardamine hirsuta","27"
"purple crown-vetch","Securigera varia","26"
"southern crabgrass","Digitaria ciliaris","26"
"red sorrel","Rumex acetosella","26"
"paper-mulberry","Broussonetia papyrifera","26"
"scarlet gaura","Gaura coccinea","25"
"fall panicum","Panicum dichotomiflorum","25"
"orchardgrass","Dactylis glomerata","25"
"Scotch thistle","Onopordum acanthium","25"
"bushy wallflower","Erysimum repandum","24"
"wild mustard","Sinapis arvensis","24"
"blue mustard","Chorispora tenella","24"
"piedmont bedstraw","Cruciata pedemontana","24"
"trifoliate orange","Citrus trifoliata","24"
"tall morning-glory","Ipomoea purpurea","24"
"American burnweed","Erechtites hieraciifolius","24"
"sacred bamboo","Nandina domestica","23"
"water speedwell","Veronica anagallis-aquatica","23"
"arrowleaf clover","Trifolium vesiculosum","23"
"common mallow","Malva neglecta","22"
"spiny amaranth","Amaranthus spinosus","22"
"Japanese privet","Ligustrum japonicum","22"
"bouncingbet","Saponaria officinalis","22"
"chicory","Cichorium intybus","22"
"wild licorice","Glycyrrhiza lepidota","22"
"highbush blackberry","Rubus argutus","21"
"Japanese stiltgrass","Microstegium vimineum","21"
"rough peavine","Lathyrus hirsutus","21"
"devil's-claw","Proboscidea louisianica","21"
"sticky chickweed","Cerastium glomeratum","21"
"redroot pigweed","Amaranthus retroflexus","21"
"bush morning-glory","Ipomoea leptophylla","20"
"fire ants","Solenopsis spp.","20"
"rose of Sharon","Hibiscus syriacus","20"
"hedge mustard","Sisymbrium officinale","20"
"tall thistle","Cirsium altissimum","20"
"fire ant decapitating fly","Pseudacteon curvatus","20"
"spotted waterhemlock","Cicuta maculata","19"
"field pennycress","Thlaspi arvense","19"
"alligatorweed","Alternanthera philoxeroides","19"
"curly leaf pondweed","Potamogeton crispus","19"
"cutleaf groundcherry","Physalis angulata","19"
"cucurbit downy mildew","Pseudoperonospora cubensis","19"
"meadow fescue","Festuca pratensis","19"
"southern catalpa","Catalpa bignonioides","19"
"common St. Johnswort","Hypericum perforatum","18"
"cornflower","Centaurea cyanus","18"
"common ragweed","Ambrosia artemisiifolia","18"
"hemp sesbania","Sesbania exaltata","18"
"hemp/marijuana (sativa)","Cannabis sativa","17"
"Chinese elm","Ulmus parvifolia","17"
"prostrate pigweed","Amaranthus blitoides","17"
"annual ragweed","Ambrosia artemisiifolia var. elatior","17"
"European common reed, Phragmites","Phragmites australis ssp. australis","17"
"stripe rust","Puccinia striiformis f.sp. tritici","17"
"Japanese hedge-parsley, erect hedgeparsley","Torilis japonica","16"
"common duckweed","Lemna minor","16"
"hedge bindweed","Calystegia sepium","15"
"black mustard","Brassica nigra","15"
"smallflower tamarisk","Tamarix parviflora","15"
"bristly locust","Robinia hispida","15"
"junglerice","Echinochloa colona","15"
"Eurasian collared-dove","Streptopelia decaocto","14"
"yellow toadflax","Linaria vulgaris","14"
"catnip","Nepeta cataria","14"
"Kummerowia","Kummerowia","14"
"cocklebur","Xanthium","14"
"marsh-pepper smartweed","Persicaria hydropiper","14"
"alfalfa","Medicago sativa","13"
"bittersweets","Celastrus spp.","13"
"alfalfa","Medicago sativa ssp. sativa","13"
"spearmint","Mentha spicata","13"
"field dodder","Cuscuta pentagona","13"
"Mediterranean gecko","Hemidactylus turcicus","12"
"water knotweed","Polygonum amphibium","12"
"lilac chastetree","Vitex agnus-castus","12"
"quackgrass","Elymus repens","12"
"cressleaf groundsel","Packera glabella","12"
"bagpod","Sesbania vesicaria","12"
"ravennagrass","Saccharum ravennae","12"
"fragrant waterlily","Nymphaea odorata","12"
"largeseed dodder","Cuscuta indecora","11"
"common grape hyacinth","Muscari botryoides","11"
"buffalobur","Solanum rostratum","11"
"common burdock, lesser burdock","Arctium minus","11"
"yellow floating heart","Nymphoides peltata","11"
"banana yucca","Yucca baccata","11"
"everlasting peavine","Lathyrus latifolius","11"
"nimblewill","Muhlenbergia schreberi","11"
"European elm bark beetle, smaller European elm bark beetle","Scolytus multistriatus","10"
"freshwater golden clam","Corbicula fluminea","10"
"knotted hedgeparsley","Torilis nodosa","10"
"Indian mustard","Brassica juncea","10"
"clammy goosefoot","Dysphania pumilio","10"
"Brazilian waterweed, Brazilian elodea","Egeria densa","10"
"yellowspine thistle","Cirsium ochrocentrum","10"
"garlic mustard","Alliaria petiolata","10"
"coyote","Canis latrans","9"
"soft brome","Bromus hordeaceus","9"
"white poplar","Populus alba","9"
"smooth brome","Bromus inermis","9"
"soft brome","Bromus hordeaceus ssp. hordeaceus","9"
"alsike clover","Trifolium hybridum","9"
"red morning-glory","Ipomoea coccinea","9"
"Japanese brome","Bromus japonicus","9"
"whorled pennywort","Hydrocotyle verticillata","9"
"mulberry","Morus spp.","8"
"American bugseed","Corispermum americanum var. rydbergii","8"
"bulbous bluegrass","Poa bulbosa","8"
"vaseygrass","Paspalum urvillei","8"
"burcucumber","Sicyos angulatus","8"
"purple nutsedge","Cyperus rotundus","8"
"cutleaf nightshade","Solanum triflorum","8"
"common salsify","Tragopogon porrifolius","8"
"Chinese tallowtree","Triadica sebifera","7"
"stinging nettle","Urtica dioica","7"
"hoary cress","Lepidium draba","7"
"grassy arrowhead","Sagittaria graminea","7"
"redstem stork's bill","Erodium cicutarium ssp. cicutarium","7"
"common teasel","Dipsacus fullonum","7"
"common carp","Cyprinus carpio","7"
"pineapple-weed","Matricaria discoidea","7"
"peppermint","Mentha x piperita","7"
"annual honesty","Lunaria annua","7"
"grass carp","Ctenopharyngodon idella","7"
"hairy galinsoga","Galinsoga quadriradiata","6"
"sicklepod","Senna obtusifolia","6"
"fire ant decapitating fly","Pseudacteon tricuspis","6"
"tropical soda apple","Solanum viarum","6"
"autumn olive","Elaeagnus umbellata","6"
"pennyroyal","Mentha pulegium","6"
"rattail fescue","Vulpia myuros","6"
"smooth crabgrass","Digitaria ischaemum","6"
"field sandbur","Cenchrus spinifex","6"
"lesser celandine, fig buttercup","Ficaria verna","6"
"broadleaf dock","Rumex obtusifolius","6"
"microsporidia protozoa","Kneallhazia solenopsae","6"
"cup rosinweed","Silphium perfoliatum","6"
"Himalayan blackberry","Rubus bifrons","6"
"Dalmatian toadflax","Linaria dalmatica","6"
"birdsrape mustard","Brassica rapa","6"
"creeping bentgrass","Agrostis stolonifera","6"
"water foxtail","Alopecurus geniculatus","5"
"asparagus","Asparagus officinalis","5"
"Canada bluegrass","Poa compressa","5"
"knawel","Scleranthus annuus","5"
"little burclover","Medicago minima","5"
"purple loosestrife","Lythrum salicaria","5"
"forest tent caterpillar","Malacosoma disstria","5"
"corn cockle","Agrostemma githago","5"
"European red raspberry","Rubus idaeus","5"
"white perch","Morone americana","5"
"kudzu","Pueraria montana","5"
"curlycup gumweed","Grindelia squarrosa","5"
"shovel-headed garden worm","Bipalium kewense","5"
"redtop","Agrostis gigantea","5"
"Japanese climbing fern","Lygodium japonicum","5"
"guineagrass","Megathyrsus maximus","5"
"princess-feather","Persicaria orientalis","5"
"European privet","Ligustrum vulgare","4"
"dotted duckmeat","Landoltia punctata","4"
"hairy nightshade","Solanum physalifolium","4"
"twoleaf watermilfoil","Myriophyllum heterophyllum","4"
"yellow starthistle","Centaurea solstitialis","4"
"Solenopsis invicta virus-1","Aparavirus SIV-1","4"
"Morrow's honeysuckle","Lonicera morrowii","4"
"Chinese wisteria","Wisteria sinensis","4"
"rock pigeon","Columba livia","4"
"catchweed bedstraw","Galium aparine","4"
"wild celery","Cyclospermum leptophyllum","4"
"purple starthistle","Centaurea calcitrapa","4"
"motherwort","Leonurus cardiaca","4"
"small carpetgrass, joint-head grass","Arthraxon hispidus","4"
"Texas blueweed","Helianthus ciliaris","4"
"annual yellow sweetclover","Melilotus indicus","4"
"woollyleaf bursage","Ambrosia grayi","4"
