"Common Name","Scientific Name","Number of Records"
"alsike clover","Trifolium hybridum","112"
"broadleaf plantain","Plantago major","111"
"spring whitlowgrass","Draba verna","110"
"star-of-Bethlehem","Ornithogalum umbellatum","108"
"eastern redcedar","Juniperus virginiana","108"
"fall armyworm","Spodoptera frugiperda","107"
"common duckweed","Lemna minor","105"
"hedge bindweed","Calystegia sepium","105"
"elecampane","Inula helenium","104"
"Callery pear (Bradford pear)","Pyrus calleryana","104"
"crack willow","Salix fragilis","104"
"thymeleaf sandwort","Arenaria serpyllifolia","104"
"pig (feral), wild boar at large","Sus scrofa (feral type)","102"
"common purslane","Portulaca oleracea","100"
"tall morning-glory","Ipomoea purpurea","100"
"scarlet pimpernel","Anagallis arvensis","100"
"common tansy","Tanacetum vulgare","99"
"smooth brome","Bromus inermis","99"
"eclipta","Eclipta prostrata","98"
"Siberian elm","Ulmus pumila","97"
"large hop clover","Trifolium campestre","97"
"orange hawkweed","Pilosella aurantiaca","96"
"field pennycress","Thlaspi arvense","95"
"meadow hawkweed","Hieracium caespitosum","95"
"European common reed, Phragmites","Phragmites australis ssp. australis","94"
"mexicantea","Dysphania ambrosioides","94"
"common viper's bugloss, blueweed","Echium vulgare","93"
"cypress spurge","Euphorbia cyparissias","93"
"timothy","Phleum pratense","93"
"hop clover","Trifolium aureum","91"
"yellow nutsedge","Cyperus esculentus","90"
"tall buttercup","Ranunculus acris","89"
"annual bluegrass","Poa annua","89"
"wild four-o'clock","Mirabilis nyctaginea","88"
"bittersweets","Celastrus spp.","88"
"yellow fieldcress","Rorippa sylvestris","88"
"black vine weevil","Otiorhynchus sulcatus","88"
"Canada bluegrass","Poa compressa","88"
"common dandelion","Taraxacum officinale ssp. officinale","88"
"spotted waterhemlock","Cicuta maculata","87"
"common ragweed","Ambrosia artemisiifolia","87"
"dog rose","Rosa canina","87"
"smooth bedstraw","Galium mollugo","87"
"redtop","Agrostis gigantea","86"
"common salsify","Tragopogon porrifolius","86"
"teasel","Dipsacus","86"
"barnyardgrass","Echinochloa crus-galli","85"
"common pine shoot beetle, larger pine shoot beetle","Tomicus piniperda","85"
"goosegrass","Eleusine indica","85"
"field horsetail","Equisetum arvense","85"
"thymeleaf speedwell","Veronica serpyllifolia ssp. serpyllifolia","85"
"hemp dogbane","Apocynum cannabinum","85"
"green bristlegrass","Setaria viridis var. viridis","84"
"giant ragweed","Ambrosia trifida","84"
"green foxtail","Setaria viridis","84"
"false strawberry","Potentilla indica","84"
"bladder campion","Silene vulgaris","84"
"nimblewill","Muhlenbergia schreberi","83"
"dwarf snapdragon","Chaenorhinum minus","83"
"western salsify","Tragopogon dubius","83"
"Russian thistle","Salsola tragus","83"
"rose rosette disease (RRD)","Emaravirus RRD","83"
"moist sowthistle","Sonchus arvensis ssp. uliginosus","82"
"common speedwell","Veronica officinalis","82"
"quackgrass","Elymus repens","82"
"wild onion","Allium canadense","82"
"large crabgrass","Digitaria sanguinalis","82"
