"Common Name","Scientific Name","Number of Records"
"field brome","Bromus arvensis","76"
"prickly lettuce","Lactuca serriola","75"
"creeping bentgrass","Agrostis stolonifera","73"
"pineapple-weed","Matricaria discoidea","73"
"common vetch","Vicia sativa","72"
"spring whitlowgrass","Draba verna","71"
"yellow sweet-clover","Melilotus officinalis","71"
"European waterstarwort","Callitriche stagnalis","71"
"flighted spongy moth complex","Lymantria dispar asiatica","71"
"onion thrips","Thrips tabaci","71"
"Himalayan balsam","Impatiens glandulifera","70"
"timothy","Phleum pratense","70"
"balsam poplar","Populus balsamifera","69"
"Douglas-fir","Pseudotsuga menziesii","68"
"Kentucky bluegrass","Poa pratensis","68"
"thymeleaf speedwell","Veronica serpyllifolia","67"
"ground ivy","Glechoma hederacea","67"
"swordleaf rush","Juncus ensifolius","67"
"perennial sowthistle","Sonchus arvensis","66"
"red fescue","Festuca rubra","66"
"yellow nutsedge","Cyperus esculentus","66"
"tall fescue","Festuca arundinacea","66"
"shepherd's-purse","Capsella bursa-pastoris","65"
"field sowthistle","Sonchus arvensis ssp. arvensis","65"
"white campion","Silene latifolia","64"
"curly dock","Rumex crispus ssp. crispus","64"
"mayweed, scentless chamomile","Tripleurospermum inodorum","64"
"lambsquarters","Chenopodium album","63"
"nipplewort","Lapsana communis","63"
"flat peavine","Lathyrus sylvestris","63"
"annual bluegrass","Poa annua","63"
"English daisy","Bellis perennis","62"
"European mountain-ash","Sorbus aucuparia","62"
"black medic","Medicago lupulina","61"
"common purslane","Portulaca oleracea","61"
"rabbitfoot polypogon","Polypogon monspeliensis","61"
"common bugloss","Anchusa officinalis","61"
"stinking chamomile","Anthemis cotula","60"
"jointed goatgrass","Aegilops cylindrica","60"
"bighead knapweed","Centaurea macrocephala","60"
"ricefield bulrush","Schoenoplectiella mucronata","60"
"common mouse-ear chickweed","Cerastium fontanum","59"
"common chickweed","Stellaria pallida","58"
"common periwinkle","Vinca minor","58"
"Canadian horseweed","Erigeron canadensis","57"
"common crupina","Crupina vulgaris","57"
"henbit","Lamium amplexicaule","57"
"smooth hawksbeard","Crepis capillaris","57"
"knotgrass","Paspalum distichum","56"
"colonial bentgrass","Agrostis capillaris","56"
"silver hairgrass","Aira caryophyllea","56"
"spiny sowthistle","Sonchus asper","56"
"barnyardgrass","Echinochloa crus-galli","55"
"Oregon grape","Mahonia nervosa","55"
"small hop clover","Trifolium dubium","55"
"Armillaria root rots","Armillaria spp.","55"
"Canada bluegrass","Poa compressa","54"
"alsike clover","Trifolium hybridum","53"
"California poppy","Eschscholzia californica","53"
"rattail fescue","Vulpia myuros","53"
"ladysthumb","Persicaria maculosa","53"
"birdsrape mustard","Brassica rapa","52"
"hairy nightshade","Solanum physalifolium","51"
"bald brome","Bromus racemosus","51"
"cornflower","Centaurea cyanus","51"
"cherry laurel","Prunus laurocerasus","51"
"squirreltail fescue","Vulpia bromoides","51"
"tall buttercup","Ranunculus acris","51"
"European common reed, Phragmites","Phragmites australis ssp. australis","50"
"dwarf eelgrass","Zostera japonica","50"
"common mallow","Malva neglecta","50"
"pale smartweed","Polygonum lapathifolium","49"
"fennel","Foeniculum vulgare","48"
"black locust","Robinia pseudoacacia","48"
"corn speedwell","Veronica arvensis","48"
"thistle","Cirsium","48"
"tall oatgrass","Arrhenatherum elatius","48"
"cereal rye","Secale cereale","47"
"moth mullein","Verbascum blattaria","46"
